!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	0431	0297	(知)	0298	(知)	八佛名號經	隋 闍那崛多譯	1
						八關齋法	清 弘贊輯	1
	0089	0696	(敬)	0697	(敬)	八關齋經	劉宋 沮渠京聲譯	1
	0430	0296	(知)	0297	(知)	八吉祥經	梁 僧伽婆羅譯	1
	0427	0294	(知)	0295	(知)	佛說八吉祥神咒經	吳 支謙譯	1
	1365	0486	(行)	0487	(行)	八名普密陀羅尼經	唐 玄奘譯	1
	0581	0705	(敬)	0706	(敬)	佛說八師經	吳 支謙譯	1
				1630	(藝)	八十八祖道影傳贊	明 德清述　高承埏補	4
	1865	1638	(敦)	1628	(藝)	八識規矩補註	明 普泰補註	2
						八識規矩補註證義	明 明昱證義	1
						八識規矩略說	明 正誨略說	1
						八識規矩論義	清 性起論釋　善漳等錄	1
						八識規矩淺說	清 行舟說	1
						八識規矩頌解	明 真可述	1
						八識規矩頌注	明 廣益述	1
						八識規矩頌注	清 行舟註	1
						八識規矩通說	明 德清述	1
						八識規矩直解	明 智旭解	1
						八識規矩纂釋	明 廣益纂釋	1
	0756	0723	(孝)	0724	(孝)	佛說八無暇有暇經	唐 義淨譯	1
	0428	0295	(知)	0296	(知)	佛說八陽神咒經	西晉 竺法護譯	1
	0112	0654	(慶)	0655	(慶)	佛說八正道經	後漢 安世高譯	1
	1498	0963	(清)	0964	(清)	佛說八種長養功德經	宋 法護等譯	1
	1396	0494	(行)	0495	(行)	佛說拔除罪障咒王經	唐 義淨譯	1
	1395	0485	(行)	0486	(行)	拔濟苦難陀羅尼經	唐 玄奘譯	1
	0419	0072	(罪)	0072	(罪)	拔陂菩薩經	失譯	1
	0368	0196	(盧)	0197	(貞)	拔一切業障根本得生淨土神咒	劉宋 求那跋陀羅重譯	1
	0368-t1	0196-t1	(盧)	0197-t1	(貞)	附阿彌陀經不思議神力傳		1
	1109					白救度佛母讚	清 阿旺扎什譯	1
	0975					白傘蓋大佛頂王最勝無比大威德金剛無礙大道場陀羅尼念誦法要		1
	0010	0946	(夙)	0947	(夙)	白衣金幢二婆羅門緣起經	宋 施護等譯	3
						初學記	元 清覺述　道安注	1
						白雲和尚正行集		1
						白雲守端禪師語錄		2
						白雲守端禪師廣錄	(參學小師) 處凝．智本．智華．法演 編集、海譚 錄	4
						百癡禪師語錄	清 百癡說	30
						百法論疏	唐 義忠撰	2
						百法論顯幽鈔	宋 從芳述	3
	1614	1205	(沛)	1206	(沛)	大乘百法明門論	天親菩薩造　唐 玄奘譯	1
	1836			1629	(藝)	大乘百法明門論解	唐 窺基註解　明 普泰增修	2
						百法明門論決頌	唐 窺基撰，智宣勘本	1
	1837					大乘百法明門論疏	唐 大乘光撰	2
						百法明門論直解	明 智旭解	1
						百法明門論贅言	唐 窺基註解　明 明昱贅言	1
						百法明門論纂	明 廣益纂釋	1
	0444	0406	(信)	0407	(信)	佛說百佛名經	隋 那連提耶舍譯	1
	0661	0259	(良)	0260	(良)	大乘百福相經	唐 地婆訶羅譯	1
	0662	0260	(良)	0261	(良)	大乘百福莊嚴相經	唐 地婆訶羅譯	1
	1569	1180	(造)	1181	(造)	百論	提婆菩薩造　婆藪開士釋　姚秦 鳩摩羅什譯	2
	1827					百論疏	隋 吉藏撰	3
	1369a					百千印陀羅尼經	唐 實叉難陀譯	1
	1369b	0498	(行)	0499	(行)	百千印陀羅尼經	唐 實叉難陀譯	1
						百愚禪師語錄-附蔓堂集		1
	0209	1356	(群)	1357	(群)	百喻經	僧伽斯那撰　蕭齊 求那毘地譯	4
	1572	1246	(逸)	1247	(逸)	百字論	提婆菩薩造　後魏 菩提流支譯	1
						百丈懷海禪師廣錄		1
						百丈懷海禪師語錄		1
	2025	1634	(黜)	1614	(本於)	[束*力]修百丈清規	元 德煇重編	8
						百丈清規證義記	清 儀潤證義	9
	0378	0112	(白)	0112	(白)	佛說方等般泥洹經	西晉 竺法護譯	2
	0006	0115	(駒)	0115	(駒)	般泥洹經	失譯	2
	0391	0121	(食)	0121	(食)	般泥洹後灌臘經	西晉 竺法護譯	1
	1004	1443	(隸)	1444	(隸)	般若波羅蜜多理趣經大樂不空三昧真實金剛薩埵菩薩等一十七聖大曼荼羅義述	唐 不空譯	1
	0251	0017	(翔)	0017	(翔)	般若波羅蜜多心經	唐 玄奘譯	1
	0253					般若波羅蜜多心經	唐 般若共利言等譯	1
	0255					般若波羅蜜多心經	唐 法成譯	1
	0254					般若波羅蜜多心經	唐 智慧輪譯	1
	0256					唐梵翻對字音般若波羅蜜多心經		1
						般若波羅蜜多心經(梵文音譯)	唐 不空譯	1
