!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	2025	1634	(黜)	1614	(本於)	[束*力]修百丈清規	元 德煇重編	8
白10	0378	0112	(白)	0112	(白)	佛說方等般泥洹經	西晉 竺法護譯	2
福08	0006	0115	(駒)	0115	(駒)	般泥洹經	失譯	2
食10	0391	0121	(食)	0121	(食)	般泥洹後灌臘經	西晉 竺法護譯	1
	1004	1443	(隸)	1444	(隸)	般若波羅蜜多理趣經大樂不空三昧真實金剛薩埵菩薩等一十七聖大曼荼羅義述	唐 不空譯	1
翔08	0251	0017	(翔)	0017	(翔)	般若波羅蜜多心經	唐 玄奘譯	1
百03	1712	1591	(百)	1496	(勒)	般若波羅蜜多心經略疏	唐 法藏述	1
	1714	1606	(主)	1618	(務)	般若波羅蜜多心經註解	明 宗[江-工+防]．如[王*巳]同註	1
	1566	1177	(惻造)	1178	(惻造)	般若燈論釋	偈本龍樹菩薩　釋論分別明菩薩　唐 波羅頗蜜多羅譯	15
百05	1713	1592	(百)			般若心經略疏連珠記	宋 師會述	2
伐03	0418	0069	(伐)	0069	(伐)	般舟三昧經	後漢 支婁迦讖譯	3
男04	0831	0238	(男)	0239	(男)	謗佛經	元魏 菩提流支譯	1
服08	0317	0029	(服)	0029	(服)	佛說胞胎經	西晉 竺法護譯	1
夙03	1377	0934	(夙)	0935	(夙)	佛說寶帶陀羅尼經	宋 施護譯	1
	1526	1234	(靜)	1235	(靜)	寶髻經四法憂波提舍	天親菩薩造　元魏 毘目智仙譯	1
才01	0356	0246	(才)	0247	(才)	佛說寶積三昧文殊師利菩薩問法身經	後漢 安世高譯	1
恭10	0462	0165	(恭)	0165	(恭)	大方廣寶篋經	劉宋 求那跋陀羅譯	3
發04	0399	0076	(發)	0076	(發)	寶女所問經	西晉 竺法護譯	4
才10	0637	0253	(才)	0254	(才)	佛說寶如來三昧經	東晉 祇多蜜譯	2
盡01	1412	0832	(盡)	0833	(盡)	佛說寶生陀羅尼經	宋 施護譯	1
深03	0488	0911	(深)	0912	(深)	寶授菩薩菩提行經	宋 法賢譯	1
彼10	0433	0380	(彼)	0381	(彼)	佛說寶網經	西晉 竺法護譯	1
深02	1285	0902	(深)	0903	(深)	佛說寶賢陀羅尼經	宋 法賢譯	1
殷08	0402	0080	(殷)	0080	(殷)	寶星陀羅尼經	唐 波羅頗蜜多羅譯	10
逸03	1656	1245	(逸)	1246	(逸)	寶行王正論	陳 真諦譯	1
星10	1635	1303	(星)	1304	(星)	大乘寶要義論	宋 法護等譯	10
此10	0660	0147	(此)	0147	(此)	佛說寶雨經	唐 達摩流支譯	10
則09	0437	0820	(則)	0821	(則)	大乘寶月童子問法經	宋 施護譯	1
身07	0658	0148	(身)	0148	(身)	寶雲經	梁 曼陀羅仙譯	7
